,ALP,L-NP
"October 22/23, 2011 (Face)",43.5,56.5
"October 15/16, 2011 (Face)",46.5,53.5
"October 8/9, 2011 (Face)",47.5,52.5
"September 24/25 & October 1/2, 2011 (Face)",43.0,57.0
"September 10/11 & 17/18, 2011 (Face)",42.0,58.0
"August 27/28 & September 3/4, 2011 (Face)",42.0,58.0
"August 13/14 & 20/21, 2011 (Face)",41.5,58.5
"August 9/10, 2011 (Phone)",43.0,57.0
"July 30/31 & August 6/7, 2011 (Face)",43.5,56.5
"July 16/17 & 23/24, 2011 (Face)",43.5,56.5
"July 13/14, 2011 (Phone)",39.5,60.5
"July 9/10, 2011 (Face)",44.0,56.0
"June 25/26 & July 2/3, 2011 (Face)",41.5,58.5
"June 11/12 & 18/19, 2011 (Face)",45.5,54.5
"June 4/5, 2011 (Face)",43.5,56.5
"May 31 - June 2, 2011 (Phone)",41.0,59.0
"May 21/22 & 28/29, 2011 (Face)",46.0,54.0
"May 14/15, 2011 (Face)",46.5,53.5
"May 7/8, 2011 (Face)",45.5,54.5
"May 3-5, 2011 (Phone)",46.0,54.0
"April 23/24 & 30/ May 1, 2011 (Face)",46.5,53.5
"April 9/10 & 16/17, 2011 (Face)",45.0,55.0
"April 2/3, 2011 (Face)",44.5,55.5
"March 19/20 & 26/27, 2011 (Face) (TOTAL)",49.0,51.0
"March 26/27, 2011 (Face)",46.5,53.5
"March 22-24, 2011 (Phone)",45.5,54.5
"March 19/20, 2011 (Face)",52.0,48.0
"March 16/17, 2011 (Phone)",49.5,50.5
"March 12/13, 2011 (Face)",48.5,51.5
"March 8-10, 2011 (Phone)",44.5,55.5
"February 26/27 & March 5/6, 2011 (Face) (TOTAL)",48.5,51.5
"March 5/6, 2011 (Face)",46.0,54.0
"February 26/27, 2011 (Face)",51.5,48.5
"February 12/13 & 19/20, 2011 (Face)",49.5,50.5
"February 21-23, 2011 (Phone)",48.5,51.5
"January 29/30 & February 5/6, 2011 (Face)",50.0,50.0
"February 1-3, 2011 (Phone)",49.5,50.5
"January 15/16 & 22/23, 2011 (Face)",52.0,48.0
"January 8/9, 2011 (Face)",50.0,50.0
"December 11/12, 2010 (Face)",48.5,51.5
"December 8-12, 2010 (Phone)",45.5,54.5
"December 4/5, 2010 (Face)",52.5,47.5
"November 20/21 & 27/28, 2010 (Face)",52.5,47.5
"November 6/7 & 13/14, 2010 (Face)",54.0,46.0
"October 23/24 & 30/31, 2010 (Face)",54.0,46.0
"October 9/10 & 16/17, 2010 (Face)",54.0,46.0
"October 2/3, 2010 (Face)",55.5,44.5
"September 18/19, 2010 (Face)",54.0,46.0
"September 15/16, 2010 (Phone)",52.0,48.0
"September 8/9, 2010 (SMS)",50.0,50.0
"August 28/29 & September 4/5, 2010",54.5,45.5
"August 25/26, 2010 (Phone)",51.5,48.5
"August 22/23, 2010 (SMS)",50.5,49.5
"Federal Election - August 21, 2010",50.1,49.9
"August 21, 2010 (Phone)",51.5,48.5
"August 21, 2010 (SMS - 4pm)",51.0,49.0
"August 21, 2010 (SMS - 2pm)",51.0,49.0
"August 21, 2010 (SMS - 1pm)",51.0,49.0
"August 18-20, 2010 (Phone - Updated)",51.0,49.0
"August 18/19, 2010 (Phone)",51.0,49.0
"August 14/15, 2010 (Face : Face)",52.0,48.0
"August 14, 2010 (Phone)",51.0,49.0
"August 7/8, 2010 (Face : Face)",57.5,42.5
"August 3, 2010 (Phone)",50.0,50.0
"July 31/ August 1, 2010 (Face : Face)",53.0,47.0
"July 27/28, 2010 (Phone)",53.0,47.0
"July 24/25, 2010 (Face : Face)",55.5,44.5
"July 20/21, 2010 (Phone)",55.5,44.5
"July 17/18, 2010 (Face : Face)",56.0,44.0
"July 10/11, 2010 (Face : Face)",54.5,45.5
"June 26/27 & July 3/4, 2010 (Face : Face)",55.0,45.0
"June 25-28, 2010 (Phone)",48.5,51.5
"June 19/20, 2010 (Face : Face)",53.0,47.0
"June 12/13, 2010 (Face : Face)",51.5,48.5
"June 5/6, 2010 (Face : Face)",52.0,48.0
"May 29/30, 2010 (Face : Face)",52.5,47.5
"May 26/27, 2010 (Phone)",50.0,50.0
"May 22/23, 2010 (Face : Face)",54.5,45.5
"May 15/16, 2010 (Face : Face)",50.5,49.5
"May 12/13, 2010 (Phone)",48.0,52.0
"May 8/9, 2010 (Face : Face)",51.5,48.5
"May 4/5, 2010 (Phone)",50.0,50.0
"April 24/25, 2010 (Face : Face)",54.5,45.5
"April 10/11 & 17/18, 2010 (Face : Face)",56.0,44.0
"March 27/28 & April 3/4, 2010 (Face : Face)",58.0,42.0
"March 13/14 & 20/21, 2010 (Face : Face)",56.5,43.5
"February 27/28 & March 6/7, 2010 (Face : Face)",55.5,44.5
"February 20/21, 2010 (Face : Face)",56.5,43.5
"February 6/7 & 13/14, 2010 (Face : Face)",57.5,42.5
"February 10/11, 2010 (Phone)",53.5,46.5
"January 23/24 & 30/31, 2010 (Face : Face)",56.5,43.5
"January 9/10 & 16/17, 2010 (Face : Face)",58.5,41.5
"January 13/14, 2010 (Phone)",54.5,45.5
"Dec. 19/20, 2009 & Jan. 2/3, 2010 (Face : Face)",57.0,43.0
"December 5/6 & 12/13, 2009 (Face : Face)",59.0,41.0
"December 4-9, 2009 (Phone)",53.0,47.0
"December 2/3, 2009 (Phone)",53.0,47.0
"November 28/29, 2009 (Face : Face)",58.5,41.5
"November 21/22, 2009 (Face : Face)",58.5,41.5
"November 14/15, 2009 (Face : Face)",56.5,43.5
"November 11/12, 2009 (Phone)",52.0,48.0
"November 7/8, 2009 (Face : Face)",56.0,44.0
"October 31 & November 1, 2009 (Face : Face)",61.0,39.0
"October 17/18 & 24/25, 2009 (Face : Face)",60.5,39.5
"October 3/4 & 10/11, 2009 (Face : Face)",60.0,40.0
"October 7/8, 2009 (Phone)",58.0,42.0
"September 19/20 & 26/27, 2009 (Face : Face)",59.5,40.5
"September 5/6 & 12/13, 2009 (Face : Face)",62.0,38.0
"August 22/23 & 29/30, 2009 (Face : Face)",61.0,39.0
"August 8/9 & 15/16, 2009 (Face : Face)",58.0,42.0
"August 5/6, 2009 (Phone)",57.0,43.0
"July 25/26 & August 1/2, 2009 (Face : Face)",60.5,39.5
"July 11/12 & 18/19, 2009 (Face : Face)",57.5,42.5
"June 27/28 & July 4/5, 2009 (Face : Face)",58.0,42.0
"July 1/2, 2009 (Phone)",56.0,44.0
"June 20/21, 2009 (Face : Face)",55.0,45.0
"June 6/7 & 13/14, 2009 (Face : Face)",57.0,43.0
"June 10/11, 2009 (Phone)",57.5,42.5
"June 3/4, 2009 (Phone)",54.5,45.5
"May 23/24 & 30/31, 2009 (Face : Face)",58.0,42.0
"May 20/21, 2009 (Phone)",54.5,45.5
"May 16/17, 2009 (Face : Face)",58.0,42.0
"May 2/3 & 9/10, 2009 (Face : Face)",60.0,40.0
"April 18/19 & 25/26, 2009 (Face : Face)",59.0,41.0
"April 4/5 & 11/12, 2009 (Face : Face)",61.0,39.0
"March 21/22 & 28/29, 2009 (Face : Face)",61.0,39.0
"March 14/15, 2009 (Face : Face)",57.0,43.0
"March 7/8, 2009 (Face : Face)",60.5,39.5
"February 21/22 & 28/ March 1, 2009 (Face : Face)",61.5,38.5
"February 14/15, 2009 (Face : Face)",59.5,40.5
"February 7/8, 2009 (Face : Face)",60.0,40.0
"January 31 & February 1, 2009 (Face : Face)",56.0,44.0
"January 17/18 & 24/25, 2009 (Face : Face)",59.5,40.5
"January 3/4 & 10/11, 2009 (Face : Face)",60.0,40.0
"December 13/14 & 20/21, 2008 (Face : Face)",60.0,40.0
November 29/30 & December 6/7 (Face : Face),59.5,40.5
November 15/16 & 22/23 (Face : Face),59.5,40.5
November 1/2 & 8/9 (Face : Face),58.5,41.5
October 18/19 & 25/26 (Face : Face),56.5,43.5
October 15/16 (Phone),57.5,42.5
October 4/5 & 11/12 (Face : Face),57.5,42.5
"October 8/9, 2008 (Phone)",57.5,42.5
"September 20/21 & 27/28, 2008 (Face : Face)",57.5,42.5
September 24/25 (Phone),57.0,43.0
September 6/7 & 13/14 (Face : Face),55.5,44.5
August 23/24 & 30/31 (Face : Face),58.0,42.0
August 9/10 & 16/17 (Face : Face),57.0,43.0
July 26/27 & August 2/3 (Face : Face),55.0,45.0
July 19/20 (Face : Face),55.0,45.0
July 12/13 (Face : Face),60.0,40.0
June 28/29 & July 5/6 (Face : Face),59.0,41.0
June 14/15 & 21/22 (Face : Face),61.0,39.0
June 7/8 (Face : Face),58.5,41.5
June 4-9 (Phone),56.0,44.0
May 31 - June 1 (Face : Face),63.0,37.0
May 24/25 (Face : Face),61.0,39.0
May 17/18 (Face : Face),60.5,39.5
May 7-11 (Phone),58.0,42.0
May 3/4 (Face : Face),62.0,38.0
April 19/20 & 26/27 (Face : Face),61.5,38.5
April 16/17 (Phone),62.5,37.5
April 12/13 (Face : Face),62.0,38.0
April 9/10 (Phone),63.5,36.5
April 5/6 (Face : Face),62.0,38.0
March 26/27 & April 2/3 (Phone),60.5,39.5
March 15/16 & 22/23 (Face : Face),63.5,36.5
March 11/12 (Phone),61.0,39.0
March 1/2 & 8/9 (Face : Face),65.0,35.0
February 16/17 & 23/24 (Face : Face),64.5,35.5
February 2/3 & 9/10 (Face : Face),62.5,37.5
January 30/31 (Phone),60.0,40.0
January 19/20 & 26/27 (Face : Face),59.0,41.0
January 23/24 (Phone),63.0,37.0
January 5/6 & 12/13 (Face : Face),61.5,38.5
December 1/2 & 8/9 (Face : Face),60.5,39.5
December 5/6 (Phone),58.5,41.5
"Federal Election - November 24, 2007",52.7,47.3
November 23 (Phone),53.5,46.5
November 21/22 (Phone),54.5,45.5
November 17/18 (Face : Face),56.5,43.5
November 15-17 (Phone),55.5,44.5
November 10/11,56.5,43.5
November 7/8 (Phone),56.0,44.0
November 3/4,62.0,38.0
October 27/28,57.5,42.5
October 24/25 (Phone),54.5,45.5
October 20/21,56.0,44.0
October 13/14,57.0,43.0
October 17/18 (Phone),55.5,44.5
October 6/7,57.5,42.5
September 29/30,61.0,39.0
September 22/23,60.5,39.5
September 15/16,56.5,43.5
September 8/9,59.0,41.0
September 1/2,60.0,40.0
August 18/19 & 25/26,54.5,45.5
August 4/5 & 11/12,58.5,41.5
July 21/22 & 28/29,55.0,45.0
July 7/8 & 14/15,55.0,45.0
June 23/24 & June 30/July 1,59.0,41.0
June 9/10 & 16/17,57.5,42.5
June 2/3,58.0,42.0
May 26/27,57.5,42.5
May 19/20,60.0,40.0
May 12/13,59.5,40.5
May 5/6,60.0,40.0
April 21/22 & 28/29,61.0,39.0
April 7/8 & 14/15,59.5,40.5
March 24/25 & March 31/April 1,60.0,40.0
March 17/18,58.5,41.5
March 10/11,61.0,39.0
March 3/4,61.5,38.5
February 24/25,61.5,38.5
February 10/11 & 17/18,57.0,43.0
February 3/4,57.5,42.5
January 20/21 & 27/28,54.5,45.5
January 6/7 & 13/14,57.5,42.5
December 16/17,59.0,41.0
December 9/10,59.0,41.0
November 25/26 & December 2/3,52.5,47.5
November 11/12 & 18/19,53.0,47.0
October 28/29 & November 4/5,52.5,47.5
October 14/15 & 21/22,53.0,47.0
September 30/October 1 & 7/8,54.5,45.5
September 16/17 & 23/24,53.0,47.0
September 2/3 & 9/10,55.0,45.0
August 19/20 & 26/27,54.0,46.0
August 5/6 & 12/13,53.0,47.0
July 22/23 & 29/30,53.5,46.5
July 15/16,48.0,52.0
July 1/2 & 8/9,53.5,46.5
June 17/18 & 24/25,51.0,49.0
June 3/4 & 10/11,53.0,47.0
May 20/21 & 27/28,51.5,48.5
May 13/14,51.0,49.0
May 6/7,53.5,46.5
April 22/23 & 29/30,51.5,48.5
April 8/9 & 15/16,54.0,46.0
March 25/26 & April 1/2,54.0,46.0
March 11/12 & 18/19,49.0,51.0
February 25/26 & March 4/5,50.0,50.0
February 11/12 & 18/19,52.5,47.5
February 4/5,52.5,47.5
January 21/22 & 28/29,50.0,50.0
January 7/8 & 14/15,54.0,46.0
December 17/18,52.0,48.0
December 3/4 & 10/11,54.0,46.0
November 19/20 & 26/27,57.0,43.0
November 11/12,49.0,51.0
November 5/6,54.0,46.0
October 22/23 & 29/30,53.0,47.0
October 8/9 & 15/16,53.0,47.0
September 24/25 & October 1/2,50.5,49.5
September 17/18,47.5,52.5
September 10/11,53.0,47.0
August 27/28 & September 3/4,48.5,51.5
August 13/14 & 20/21,53.5,46.5
July 30/31 & August 6/7,52.0,48.0
July 16/17 & 23/24,50.5,49.5
July 2/3 & 9/10,51.0,49.0
June 18/19 & 25/26,50.5,49.5
June 4/5 & 11/12,50.0,50.0
May 21/22 & 28/29,48.5,51.5
May 14/15,50.5,49.5
April 30/May 1 & May 7/8,52.0,48.0
April 16/17 & 23/24,51.0,49.0
April 2/3 & 9/10,53.0,47.0
March 19/20 & 26/27,49.5,50.5
March 12/13,48.0,52.0
March 5/6,52.0,48.0
February 19/20 & 26/27,48.0,52.0
February 5/6 & 12/13,48.0,52.0
January 22/23 & 29/30,48.5,51.5
January 8/9 & 15/16,47.0,53.0
December 11/12 & December 18/19,47.5,52.5
November 27/28 & December 4/5,47.0,53.0
November 13/14 & 20/21,49.5,50.5
October 30/31 & November 6/7,49.5,50.5
October 9/10 & 16/17,47.5,52.5
"Federal Election - October 9, 2004",47.3,52.7
October 7/8,51.0,49.0
October 2/3,51.5,48.5
September 25/26,50.0,50.0
September 18/19,53.0,47.0
September 11/12,54.5,45.5
August 28/29 & September 4/5,56.0,44.0
August 14/15 & 21/22,55.5,44.5
July 31/ August 1 & August 7& 8,53.5,46.5
July 17/18 & July 24/25,53.0,47.0
July 10/11,54.0,46.0
July 3/4,51.5,48.5
June 19/20 & June 26/27,54.0,46.0
June 5/6 & June 12/13,53.0,47.0
May 22/23 & May 29/30,55.0,45.0
May 15/16,52.5,47.5
April 24/25 & May 1/2,53.5,46.5
April 10/11 & April 17/18,54.5,45.5
March 27/28 & April 3/4,55.0,45.0
March 13/14 & March 20/21,55.5,44.5
February 28/29 & March 6/7,55.5,44.5
February 14/15 & February 21/22,55.5,44.5
January 31/ February 1 & February 7/8,56.5,43.5
January 17/18 & January 24/25,55.0,45.0
January 3/4 & January 10/11,55.5,44.5
December 13/14 & December 20/21,54.0,46.0
December 6/7,52.5,47.5
November 29/30,52.0,48.0
November 22/23,52.0,48.0
November 8/9 & November 15/16,49.5,50.5
October 25/26 & November 1/2,53.0,47.0
October 11/12 & October 18/19,50.0,50.0
October 4/5,49.5,50.5
September 13/14 & September 20/21,52.0,48.0
August 30/31 & September 6/7,52.0,48.0
August 23/24,52.0,48.0
August 16/17,48.5,51.5
August 9/10,49.5,50.5
July 19/20 & July 26/27,50.0,50.0
June 21/22 & June 28/29,49.0,51.0
June 7/8 & June 14/15,49.0,51.0
May 24/25 & May 31/ June 1,53.0,47.0
May 10/11 and May 17/18,50.0,50.0
April 26/27 & May 3/4,50.0,50.0
April 19/20,49.0,51.0
April 12/13,51.0,49.0
April 5/6,54.0,46.0
March 22/23,47.5,52.5
March 15/16,53.5,46.5
March 1/2 & March 8/9,53.5,46.5
February 15/16 & February 22/23,49.0,51.0
February 1/2 & February 8/9,52.5,47.5
January 18/19 & January 25/26,52.0,48.0
January 4/5 & January 11/12,50.0,50.0
Dec 6/7 & Dec 14/15,49.5,50.5
Nov 23/24 & Nov 30/Dec 1,51.0,49.0
Nov 9/10 & Nov 16/17,47.0,53.0
Oct 26/27 & Nov 2/3,47.5,52.5
Oct 12/13 & Oct 19/20,51.0,49.0
October 5/6,51.0,49.0
September 14/15 & September 21/22,51.5,48.5
Aug 31/Sept 1 & September 7/8,53.0,47.0
August 17/18 & August 24/25,54.0,46.0
August 3/4 & August 10/11,52.5,47.5
July 20/21 & July 27/28,50.0,50.0
July 6/7 & July 13/14,54.0,46.0
June 23/24,51.0,49.0
June 8/9 & June 15/16,51.5,48.5
May 25/26 & June 1/2,53.5,46.5
May 11/12 & May 18/19,54.0,46.0
Apr 27/28 & May 4/5,52.5,47.5
Apr 13/14 & 20/21,50.0,50.0
Apr 6/7,53.5,46.5
Mar 16/17 & 23/24,54.0,46.0
Mar 2/3 & 9/10,51.5,48.5
Feb 16/17 & 23/24,51.0,49.0
Feb 2/3 & 9/10,49.0,51.0
Jan 19/20 and 26/27,52.5,47.5
Jan 5/6 & 12/13,50.0,50.0
"Federal Election - November 10, 2001",49.0,51.0
November 3/4,54.5,45.5
October 27/28,52.5,47.5
October 20/21,51.5,48.5
October 13/14,45.0,55.0
September 29/30 & October 6/7,50.0,50.0
September 22/23,51.0,49.0
September 15/16,51.0,49.0
September 8/9,55.0,45.0
September 1/2,52.0,48.0
August 18/19 & August 25/26,57.0,43.0
August 4/5 & August 11/12,55.5,44.5
July 21/22 & July 28/29,56.5,43.5
July 7/8 & 14/15,55.0,45.0
June 23/24 & June 30/July 1,56.5,43.5
June 9/10 & 16/17,57.0,43.0
June 2/3,60.0,40.0
May 26/27,57.0,43.0
May 12/13 & 19/20,61.0,39.0
April 28/29 & May 5/6,59.5,40.5
April 14/15 & 21/22,59.5,40.5
March 31/April 1 & April 7/8,59.5,40.5
March 17/18 & 24/25,60.0,40.0
March 3/4 & 10/11,61.5,38.5
February 17/18 & 24/25,63.0,37.0
February 3/4 & 10/11,57.0,43.0
January 20/21 & 27/28,54.0,46.0
January 6/7 & 13/14,57.5,42.5
December 9/10 & 16/17,56.0,44.0
November 25/26 & December 2/3,55.0,45.0
September 16/17 & 23/24,56.0,44.0
October 14/15 & 21/22,57.0,43.0
November 11/12 & 18/19,55.5,44.5
Sept 30/Oct 1 & October 7/8,56.5,43.5
October 28/29 & Nov 4/5,57.5,42.5
September 2/3 & 9/10,56.5,43.5
August 19/20 & 26/27,55.0,45.0
August 5/6 & 12/13,52.0,48.0
July 22/23 & July 29/30,55.5,44.5
July 15/16,54.0,46.0
July 8/9,55.5,44.5
June 24/25 & July 1/2,58.5,41.5
June 10/11 & June 17/18,60.0,40.0
May 27/28 & June 3/ 4,58.5,41.5
May 13/14 & 20/21,57.5,42.5
